"","recid","earnings","D","male","hsorged","black","hispanic","married","wkless13","afdc","age2225","age2629","age3035","age3644","age4554","class_tr","ojt_jsa","f2sms","age","bfeduca","bfyrearn","bfwage","bfhrswrk"
"34",300058,38018,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,"29",12,4500,340,45
"35",300059,3366,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,"26",9,0,0,0
"37",300063,13892,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,"29",14,4000,610,40
"38",300064,14598,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,"29",13,2041,440,40
"41",300074,20609,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,"25",15,0,0,0
"42",300075,37644,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,"22",12,3500,360,30
"44",300077,9747,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"48",12,4500,450,40
"45",300078,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,"50",10,154,385,40
"47",300081,31196,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,"33",11,10000,1229,60
"48",300082,34728,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,"24",13,10000,400,25
"49",300084,126,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,"30",11,0,600,9
"50",300085,1763,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"42",10,2000,450,55
"53",300091,7028,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,"27",10,30,275,10
"54",300092,4506,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,"22",12,0,335,30
"55",300095,2203,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"33",14,1200,335,25
"56",300096,3765,0,1,0.6876773,1,0,1,0,0,1,0,0,0,0,0,1,0,"25",12,2948,375,40
"57",300097,5475,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,"29",12,0,1200,40
"58",300098,12394,0,0,0,0,0,0.2111608,1,1,0,1,0,0,0,0,0,1,"26",12,0,335,40
"59",300099,8372,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,"38",12,0,1100,40
"61",300103,1109,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,"55",12,0,335,20
"62",300104,75,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,"38",9,1800,375,40
"63",300105,26944,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,"31",12,0,0,0
"64",300108,2787,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"22",12,12000,335,20
"65",300110,11832,1,1,0.6876773,1,0,0,1,0,1,0,0,0,0,0,0,0,"24",11,0,0,0
"68",300115,26525,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"25",12,14102,905,40
"69",300119,8860,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"23",12,1500,350,20
"71",300123,48727,1,1,1,1,0,0,0.4073359,0,0,0,1,0,0,0,1,0,"32",14,1000,375,40
"72",300125,28029,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,"32",12,0,450,40
"73",300128,20865,0,0,0,0,0,0.2111608,1,1,0,0,1,0,0,1,0,0,"35",11,0,125,40
"74",300129,56089,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,"29",16,5280,550,40
"76",300133,4310,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,"36",10,1546,335,5
"77",300134,2952,1,0,0,0,1,0.2111608,1,1,0,0,0,1,0,0,0,0,"39",11,0,0,0
"78",300136,23830,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,"37",12,4500,587,46
"79",300139,13871,1,0,1,0,0,0.2111608,0,1,0,1,0,0,0,0,1,0,"26",13,4421,350,35
"80",300140,9962,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"23",13,12088,425,45
"81",300141,14459,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"23",10,5500,500,40
"82",300144,3721,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"29",12,9000,400,33
"83",300146,6261,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,"22",9,500,433,20
"85",300154,12758,1,0,1,0,1,0.2111608,1,1,0,0,0,1,0,0,0,0,"38",10,0,0,0
"87",300156,9003,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"25",12,8440,483,40
"88",300158,24135,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,"29",11,100,335,35
"89",300159,2612,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"25",11,11490,567,40
"90",300160,698,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"22",12,2500,335,25
"91",300161,141,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"23",11,0,400,30
"92",300163,34593,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,"32",12,6500,400,30
"95",300169,10840,1,1,1,0,0,0.3352851,0,0,1,0,0,0,0,0,1,0,"22",12,6000,375,27
"96",300171,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"22",10,1927,325,20
"98",300173,27431,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,"22",13,8000,500,8
"99",300174,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"75",8,0,0,0
"101",300176,0,0,0,1,0,1,0.2111608,1,1,0,0,1,0,0,0,0,0,"30",12,0,0,0
"103",300181,1929,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,"39",11,422,467,43
"104",300182,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,"37",16,3815,400,22
"105",300187,90483,1,1,1,1,0,0.3352851,1,0,0,0,1,0,0,1,0,0,"31",15,2000,400,40
"107",300189,19344,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"25",12,1000,375,40
"109",300192,47184,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"28",12,15000,828,38
"110",300193,1008,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,"34",12,212,390,23
"113",300202,22026,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"25",14,6000,504,40
"114",300207,19501,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,"25",13,7000,700,35
"115",300209,60007,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,"32",10,10000,465,43
"116",300212,13383,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"43",17,5500,435,38
"118",300215,9285,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,"25",12,2300,700,20
"120",300220,22820,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"24",13,450,400,20
"121",300221,6119,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"29",15,1300,400,52
"124",300225,11797,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"30",14,5500,500,15
"125",300228,53103,0,1,0.6876773,1,0,1,0,0,1,0,0,0,0,1,0,0,"22",12,12000,500,12
"126",300229,6432,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,"32",14,2000,575,40
"127",300232,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,"38",8,0,0,0
"128",300234,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,"22",10,0,0,0
"129",300238,20014,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,"29",12,700,335,12
"130",300239,0,0,0,0,0,0,0.2111608,1,1,0,0,1,0,0,1,0,0,"31",8,0,0,0
"133",300243,51495,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"22",11,4875,375,25
"135",300246,13500,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,"78",12,0,0,0
"136",300247,2874,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,"41",14,3000,650,5
"137",300248,45968,1,1,0.6876773,0,0,0,1,0,0,1,0,0,0,0,1,0,"27",14,2856,656,16
"138",300250,29458,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,"23",11,9625,445,40
"140",300253,3999,1,1,1,1,0,0.3352851,0,0,0,0,1,0,0,1,0,0,"30",15,10000,700,31
"141",300256,43734,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"32",11,6500,400,30
"142",300257,83989,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,"36",12,10000,508,15
"144",300259,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,"41",12,19000,900,40
"147",300266,40305,1,0,0,0,0,1,0.5332298,1,1,0,0,0,0,0,0,0,"23",11,1024,512,40
"149",300273,2824,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,"74",16,5000,575,18
"150",300274,10371,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,"30",10,0,0,0
"151",300276,25585,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,"34",12,0,356,40
"152",300279,17470,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,"41",8,8120,600,20
"154",300283,5854,0,0,1,1,0,0.2111608,1,1,0,0,0,1,0,1,0,1,"39",9,350,360,7
"155",300287,10047,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"27",11,86,400,40
"158",300290,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"63",8,1045,700,40
"159",300292,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,"28",12,0,0,0
"161",300294,26214,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,"27",10,5730,440,35
"162",300298,17943,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,"22",10,2400,335,30
"164",300302,12586,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"39",11,1000,400,12
"166",300305,1935,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,"68",11,0,188,45
"167",300306,11619,1,1,1,1,0,0.3352851,1,0,0,0,0,0,1,0,0,1,"49",12,2112,425,40
"168",300307,5992,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"26",11,2725,350,40
"170",300309,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,"41",12,671,350,30
"171",300310,22614,1,0,0,0,0,0,0.5332298,0,0,0,1,0,0,0,1,0,"34",10,130,485,40
"173",300316,22636,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"32",9,5200,250,33
"174",300317,22895,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,"37",12,3000,445,40
"175",300318,9343,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,"31",13,11475,580,32
"176",300320,17181,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,"54",12,8786,750,40
"177",300322,1611,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,"32",12,550,470,10
"178",300325,1455,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,"23",13,0,335,20
"179",300326,14757,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,"24",15,0,0,0
"180",300327,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,"38",10,3792,500,40
"181",300330,11636,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"26",8,300,370,40
"182",300331,201,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,"34",12,200,400,24
"183",300332,17739,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,"28",12,0,0,0
"184",300333,8284,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"39",14,2800,600,65
"186",300336,31312,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,"28",12,5400,216,24
"190",300344,19329,1,0,0.716404,0,1,1,0,0,0,0,1,0,0,1,0,0,"34",12,3800,550,40
"191",300345,15841,0,0,0.716404,0,0,0,0.5332298,0,0,0,0,0,1,0,0,0,"48",10,7500,497,40
"196",300353,1956,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"40",10,3900,575,40
"197",300355,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"24",13,5000,750,12
"198",300356,4446,1,1,1,0,0,0,0.4073359,0,1,0,0,0,0,0,0,0,"23",9,98,500,40
"199",300359,9449,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,"27",8,5915,400,13
"200",300360,31774,1,0,1,0,0,0.2111608,1,0,0,0,0,1,0,0,0,0,"37",13,1300,465,36
"202",300362,27546,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,"28",12,0,350,25
"203",300363,1440,1,1,0,0,0,0.3352851,1,0,0,1,0,0,0,0,0,0,"27",8,400,400,40
"204",300366,14295,1,1,1,1,0,0,0.4073359,0,1,0,0,0,0,0,0,0,"24",12,300,530,23
"207",300372,7898,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"32",11,3235,1230,16
"208",300373,34745,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"60",12,7000,400,15
"209",300375,3779,0,0,1,0,0,0.2111608,0.5332298,0,0,0,1,0,0,1,0,1,"31",14,4000,465,40
"210",300376,247,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,"27",11,150,425,30
"211",300380,22289,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,"23",12,2808,360,30
"212",300381,8550,1,1,1,0,0,1,0.4073359,0,0,0,0,1,0,0,1,0,"36",12,6000,625,40
"213",300383,700,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,"24",12,0,0,0
"214",300384,16977,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"46",11,2160,375,40
"215",300385,19416,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,"30",8,1000,575,40
"216",300387,35986,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,"41",12,3593,400,41
"218",300391,21561,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,"26",11,600,500,35
"219",300392,4968,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"29",12,3000,380,40
"220",300393,13367,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,"42",14,2000,600,25
"221",300394,15471,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"28",12,8125,400,20
"222",300395,6489,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,"34",11,400,523,40
"223",300398,337,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,"27",12,0,335,30
"225",300403,62715,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,"37",12,0,900,40
"226",300404,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"32",12,0,0,0
"227",300407,56963,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,"25",16,3500,485,15
"228",300408,4998,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,"31",12,200,335,38
"230",300412,22951,1,0,1,0,0,0.2111608,1,0,0,1,0,0,0,0,0,1,"28",13,1300,410,50
"231",300415,43748,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,"48",15,12500,923,52
"232",300418,79720,0,1,0.6876773,0,1,0.3352851,1,0,0,0,0,1,0,0,1,0,"37",11,1000,450,40
"233",300420,5130,1,0,0.716404,1,0,0,0,1,0,1,0,0,0,1,0,0,"28",12,3400,450,21
"234",300421,2613,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,"30",9,0,0,0
"236",300424,9755,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,"25",11,7143,210,20
"237",300426,0,0,1,0.6876773,0,0,0.3352851,1,0,1,0,0,0,0,0,0,0,"25",8,0,0,0
"238",300429,14529,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"33",12,3380,335,40
"240",300433,12773,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"34",8,9,900,60
"241",300434,24807,0,0,0,1,0,0.2111608,0,0,0,1,0,0,0,0,0,1,"27",12,8386,700,40
"242",300436,2115,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,"22",10,0,0,0
"243",300437,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"34",11,3000,350,20
"246",300440,28249,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,"27",14,8000,375,30
"249",300444,447,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,"26",12,800,350,25
"252",300451,375,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"30",16,0,335,10
"253",300454,2359,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,"28",9,0,400,40
"254",300456,22530,0,0,1,0,0,0,0.5332298,0,0,1,0,0,0,0,1,0,"29",12,4800,426,40
"255",300458,13280,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,"37",12,0,0,0
"256",300460,690,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,"40",16,16700,1800,40
"258",300462,1215,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,"46",10,4000,370,40
"259",300463,395,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,"23",13,500,400,1
"261",300465,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,"51",9,0,0,0
"262",300466,39360,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"33",9,12000,750,40
"264",300469,12845,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"34",12,5000,864,40
"265",300470,634,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"31",12,16155,785,42
"266",300472,3846,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,"23",12,0,0,0
"268",300474,42923,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"40",12,4252,600,40
"269",300475,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"24",12,8443,428,40
"270",300476,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,"34",12,0,300,40
"274",300483,87243,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,"27",14,200,425,32
"275",300484,30747,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,"26",13,12000,650,40
"277",300487,62364,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,"44",12,5000,550,58
"278",300488,2614,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,"32",11,300,400,24
"280",300492,0,1,0,1,0,0,0.2111608,1,1,0,0,1,0,0,1,0,1,"31",12,0,0,0
"281",300495,31357,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,"28",15,7200,525,40
"283",300498,17194,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,"28",12,0,0,0
"285",300501,90,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,"22",12,0,335,25
"286",300502,861,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"22",12,1100,355,19
"289",300506,213,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,"63",12,0,0,0
"291",300509,14132,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,"34",10,0,0,0
"293",300513,2260,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"40",9,8340,500,36
"295",300517,45354,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,"37",14,7200,341,44
"297",300525,79278,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,"30",13,6516,600,40
"298",300526,69042,1,1,0,0,0,1,0.4073359,0,0,1,0,0,0,0,1,1,"28",11,19000,1200,19
"301",300529,34373,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,"61",12,6240,600,40
"302",300531,3379,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,"26",11,0,0,0
"303",300533,46443,1,1,0.6876773,0,0,0,0,0,1,0,0,0,0,0,1,0,"24",12,3588,450,50
"304",300535,2036,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,"28",11,0,370,25
"305",300539,25767,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"38",9,2000,500,19
"306",300541,24888,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,"30",12,700,700,40
"307",300543,75,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,"30",10,0,489,40
"308",300545,20058,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,"46",11,7630,935,40
"309",300548,3594,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,"27",12,1080,450,40
"310",300549,63423,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,"29",12,4000,822,40
"312",300553,18975,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,"47",9,0,335,40
"314",300555,20751,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"22",13,7000,370,30
"316",300558,15302,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,"29",12,1000,425,38
"317",300560,12327,1,1,0,0,0,0.3352851,0,0,0,1,0,0,0,0,1,0,"28",11,1000,425,20
"319",300565,306,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,"23",11,0,400,21
"320",300566,17127,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,"44",10,0,0,0
"321",300567,18374,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"33",12,2900,400,40
"324",300572,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"23",11,6600,500,40
"325",300574,38945,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,"35",12,9000,650,40
"326",300575,28804,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,"23",12,3000,305,40
"328",300577,46253,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,"39",12,6500,425,30
"329",300578,0,0,0,0.716404,0,1,0.2111608,1,1,0,0,0,1,0,0,0,1,"36",12,0,400,40
"330",300579,26040,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,"31",12,300,395,30
"331",300581,41031,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,"39",12,2411,1507,40
"332",300586,8775,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,"28",9,600,450,10
"333",300589,321,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,"31",16,2000,435,48
"334",300590,30837,1,1,0.6876773,0,0,1,0,0,0,0,1,0,0,1,0,1,"35",13,6711,335,50
"335",300591,954,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"23",9,0,0,0
"336",300593,5737,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"24",12,4641,350,30
"337",300594,82217,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,"39",8,24000,650,45
"338",300596,21616,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,"38",12,400,335,40
"339",300598,80166,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,"29",12,2200,800,43
"340",300599,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,"29",8,0,0,0
"341",300600,6821,1,0,1,1,0,0,0.5332298,1,0,1,0,0,0,0,0,1,"28",12,160,425,32
"342",300603,18501,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"30",10,400,355,20
"343",300605,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,"25",14,260,500,40
"344",300606,16332,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,"52",9,4848,375,5
"345",300607,29452,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"39",13,2003,400,38
"346",300608,6965,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,"32",12,0,335,40
"348",300611,34612,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,"35",14,12000,600,40
"350",300614,1565,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,"23",12,0,365,20
"351",300615,26334,1,1,0,1,0,0.3352851,1,0,0,1,0,0,0,0,1,0,"28",10,0,0,0
"352",300618,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"34",12,600,475,40
"353",300620,2322,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,"24",12,0,0,0
"354",300621,36201,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,"33",10,220,600,35
"355",300622,6747,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"26",11,0,800,60
"356",300624,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"39",10,10000,450,80
"357",300625,13726,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,"23",12,0,0,0
"358",300629,2806,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,"26",8,171,535,40
"360",300633,48553,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,"26",9,11000,750,40
"361",300634,978,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,"33",11,1190,425,24
"362",300635,38743,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"31",12,10080,525,40
"364",300638,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,"33",12,3000,300,25
